epoch,train_loss,train_acc,val_loss,val_acc
228,0.1003,0.9529,0.7205,0.7269
229,0.0864,0.9644,0.6817,0.6923
230,0.0695,0.9760,0.6278,0.7115
231,0.0852,0.9692,0.6721,0.7038
232,0.1068,0.9558,0.6432,0.7192
233,0.1000,0.9529,0.6226,0.7192
234,0.1346,0.9413,0.6465,0.7154
235,0.0565,0.9808,0.6337,0.7192
236,0.1386,0.9365,0.6542,0.7115
237,0.1190,0.9442,0.7511,0.6692
238,0.0947,0.9644,0.6302,0.7077
239,0.0902,0.9615,0.6353,0.7231
240,0.0785,0.9731,0.6231,0.7231
241,0.0958,0.9558,0.6437,0.7192
242,0.0820,0.9750,0.6185,0.7115
243,0.0957,0.9567,0.6746,0.7000
244,0.0866,0.9683,0.6467,0.7231
245,0.1283,0.9423,0.6484,0.7154
246,0.1121,0.9510,0.6225,0.7269
247,0.0807,0.9692,0.6160,0.7231
248,0.0976,0.9596,0.6353,0.7115
249,0.1352,0.9365,0.7384,0.7154
250,0.1188,0.9404,0.6623,0.7192
251,0.1127,0.9471,0.6770,0.7115
252,0.0948,0.9635,0.6799,0.7115
253,0.0791,0.9721,0.6587,0.7192
254,0.0887,0.9644,0.6637,0.7154
255,0.0867,0.9615,0.6457,0.7231
256,0.0978,0.9596,0.6266,0.7231
257,0.0907,0.9606,0.6162,0.7269
258,0.1068,0.9567,0.6409,0.7192
259,0.0704,0.9712,0.6146,0.7269
260,0.0746,0.9721,0.6174,0.7115
261,0.1102,0.9538,0.6755,0.7115
262,0.0724,0.9731,0.7563,0.7231
263,0.0858,0.9673,0.7047,0.7269
264,0.1123,0.9500,0.6728,0.7115
265,0.0976,0.9577,0.6389,0.7115
266,0.1147,0.9500,0.6498,0.7115
267,0.1161,0.9510,0.6366,0.7269
268,0.0842,0.9635,0.6108,0.7308
269,0.0943,0.9596,0.6309,0.7000
270,0.1183,0.9490,0.7171,0.7115
271,0.1309,0.9346,0.6581,0.7154
272,0.1009,0.9587,0.6354,0.7192
273,0.0898,0.9615,0.6447,0.7077
274,0.0864,0.9654,0.6333,0.7077
275,0.0823,0.9673,0.6349,0.7154
276,0.0852,0.9702,0.6296,0.7038
277,0.1166,0.9471,0.6343,0.7192
278,0.0790,0.9683,0.6394,0.7231
279,0.1158,0.9538,0.6812,0.6923
280,0.0787,0.9721,0.6425,0.7192
281,0.1021,0.9577,0.6280,0.7346
282,0.1030,0.9529,0.6521,0.7231
283,0.1037,0.9500,0.6533,0.7077
284,0.1296,0.9317,0.6183,0.7154
285,0.0909,0.9663,0.6300,0.7269
286,0.0935,0.9606,0.6654,0.7038
287,0.0873,0.9567,0.7354,0.7077
288,0.0952,0.9625,0.6126,0.7077
289,0.1201,0.9490,0.6643,0.7231
290,0.1137,0.9548,0.6328,0.7231
291,0.1147,0.9519,0.6149,0.7269
292,0.0704,0.9769,0.6783,0.7115
293,0.0788,0.9702,0.6567,0.7077
294,0.1036,0.9548,0.6125,0.7192
295,0.1130,0.9500,0.6581,0.7077
296,0.1099,0.9548,0.6744,0.7038
297,0.1035,0.9510,0.6744,0.7000
298,0.0919,0.9654,0.6142,0.7038
299,0.1103,0.9567,0.6560,0.7154
300,0.1033,0.9596,0.6536,0.7269
